Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
,,,,
Name,Location,License Type,Priority/Expedited Status,Executive Summary
"Mass Alternative Care, Inc.","77 Champion Drive, Chicopee, MA 01020","55 University Drive, Amherst, MA 01002","Mass Alternative Care, Inc. Executive Summary"
"Mass Alternative Care, Inc.","1247 East Main Street, Chicopee, MA 01020","1247 East Main Street, Chicopee, MA 01020",Not available.
"Mass Wellspring, LLC","18 Powdermill Road, Acton, MA 01720","18 Powdermill Road, Acton, MA 01720",Not available.
"Mayflower Medicinals, Inc.","89 October Hill Road, Holliston, MA 01746","230 Harvard Avenue, Boston, MA 02134",Not available.
"Middlesex Integrative Medicine, Inc.","25 Mohawk Drive, Leominster, MA 01453","76 Astor Avenue, Norwood, MA 02062","Middlesex Integrative Medicine, Inc. Executive Summary"
"Mission MA, Inc.","640 Lincoln Street, Suite 200, Worcester, MA 01605","640 Lincoln Street, Suite 200, Worcester, MA 01605",Not available.
"Nature’s Medicines, Inc.","1045 Quaker Highway, Uxbridge, MA 01569","482 Globe Street, Fall River, MA 02724",Not available.
"Nature’s Remedy of Massachusetts, Inc.","310 Kenneth Welch Drive, Lakeville, MA 02347","266 North Main Street, Millbury, MA 01527","Nature’s Remedy of Massachusetts, Inc. Executive Summary"
"New England Treatment Access, LLC","5 Forge Parkway, Franklin, MA 02038","162 Grove Street, Franklin, MA 02038","New England Treatment Access, LLC Executive Summary"
"New England Treatment Access, LLC","5 Forge Parkway, Franklin, MA 02038","160 Washington Street, Brookline, MA 02445",Not available.
"New England Treatment Access, LLC","5 Forge Parkway, Franklin, MA 02038","118 Conz Street, Northampton, MA 01060",Not available.
"Northeast Alternatives, Inc.","999 William S Canning Boulevard, Fall River, MA 02721","999 William S Canning Boulevard, Fall River, MA 02721",Not available.
" NS AJO Holdings, Inc. d/b/a Ethos Cannabis, LLC","20 Authority Drive, Fitchburg, MA 01420","390 Arsenal Street, Watertown, MA 02472","NS AJO Holdings, Inc. d/b/a Ethos Cannabis, LLC Executive Summary"
" NS AJO Holdings, Inc. d/b/a Ethos Cannabis, LLC","20 Authority Drive, Fitchburg, MA 01420","50 Clapp Street, Boston, MA 02125","NS AJO Holdings, Inc. d/b/a Ethos Cannabis, LLC Executive Summary"
Patriot Care Corp.,"170 Lincoln Street, Lowell, MA 01852","7 Legion Avenue, Greenfield, MA 01301",Not available.
Patriot Care Corp.,"170 Lincoln Street, Lowell, MA 01852","21 Milk Street, Boston, MA 02109",Not available.
Patriot Care Corp.,"170 Lincoln Street, Lowell, MA 01852","70 Industrial Avenue East, Lowell, MA 01852",Not available.
"Pharmacannis Massachusetts, Inc. d/b/a Verilife","465 Hoppingbrook Road, Holliston, MA 01746","939 Boston Turnpike, Shrewsbury, MA 01545","Pharmacannis Massachusetts, Inc. d/b/a Verilife Executive Summary"
"Pharmacannis Massachusetts, Inc. d/b/a Verilife","465 Hoppingbrook Road, Holliston, MA 01746","112 Main Street, Wareham, MA 02571",Not available.
"Resinate, Inc.","120 Gilboa Street, Douglas, MA 01516","1191 Millbury Street, Worcester, MA 01607","Resinate, Inc. Executive Summary"
" Revolutionary Clinics II, Inc.","1 Oak Hill Road, Fitchburg, MA 01420","541 Massachusetts Avenue, Cambridge, MA 02139","Revolutionary Clinics II, Inc. Executive Summary"
" Revolutionary Clinics II, Inc.","1 Oak Hill Road, Fitchburg, MA 01420","110 Fawcett Street, Cambridge, MA 02138",Not available.
" Revolutionary Clinics II, Inc.","1 Oak Hill Road, Fitchburg, MA 01420","67 Broadway, Somerville, MA 02145",Not available.
"RISE Holdings, Inc.","28 Appleton Street, Holyoke, MA 01040","169 Meadow Street, Amherst, MA 01002",Not available.
"Sanctuary Medicinals, Inc.","234 Taylor Street, Littleton, MA 01460","130 Commerce Way, Woburn, MA 01801","Sanctuary Medicinals, Inc. Executive Summary"
"Sanctuary Medicinals, Inc.","234 Taylor Street, Littleton, MA 01460","2 Electronics Avenue, Danvers, MA 01923","Sanctuary Medicinals, Inc. Executive Summary"
"Sanctuary Medicinals, Inc.","234 Taylor Street, Littleton, MA 01460","16 Pearson Boulevard, Gardner, MA 01440",Not available.
"SIRA Naturals, Inc.","13 Commerical Way, Milford, MA 01757","29 Franklin Street, Needham, MA 02494",Not available.
"SIRA Naturals, Inc.","13 Commerical Way, Milford, MA 01757","48 North Beacon Street, Watertown, MA 02472",Not available.
"SIRA Naturals, Inc.","13 Commerical Way, Milford, MA 01757","240 Elm Street, Somerville, MA 02144",Not available.
"Temescal Wellness of Massachusetts, LLC","141 SW Cutoff, Worcester, MA 01604","665 Cochituate Road, Suite B, Framingham, MA 01701",Not available.
"Temescal Wellness of Massachusetts, LLC","141 SW Cutoff, Worcester, MA 01604","252 Coolidge Street, Hudson, MA 01749",Not available.
"Temescal Wellness of Massachusetts, LLC","141 SW Cutoff, Worcester, MA 01604","10 Callahan Drive, Pittsfield, MA 01201",Not available.
"The Botanist, Inc.","31 Chocksett Road, Sterling, MA 01564","235 Hartford Turnpike, Shrewsbury, MA 01545","The Botanist, Inc. Executive Summary"
"The Botanist, Inc.","32 Chocksett Road, Sterling, MA 01564","65 Pullman Street, Worcester, MA 01606",Not available.
"The Green Harbor Dispensary, LLC","29 Abbey Lane, Middleborough, MA 02346","29 Abbey Lane, Middleborough, MA 02346","The Green Harbor Dispensary, LLC Executive Summary"
"The Green Lady Dispensary, Inc.","11 Amelia Drive, Nantucket, MA 02554","11 Amelia Drive, Nantucket, MA 02554","The Green Lady Dispensary, Inc. Executive Summary"
"The Heirloom Collective, Inc.","87 Northfield Road, Bernardston, MA 01337","457 Russell Street, Hadley, MA 01038","The Heirloom Collective, Inc. Executive Summary"
" Theory Wellness, Inc.","1050 Elm Street, Bridgewater, MA 02324","672 Fuller Road, Chicopee, MA 01020","Theory Wellness, Inc. Executive Summary"
" Theory Wellness, Inc.","1050 Elm Street, Bridgewater, MA 02324","394 Stockbridge Road, Great Barrington, MA 01230",Not available.
" Theory Wellness, Inc.","1050 Elm Street, Bridgewater, MA 02324","1050 Elm Street, Bridgewater, MA 02324",Not available.
